model,activity,score
coca_ViT-L-14 laion2b_s13b_b90k,Holding Baby,0.4838709677419355
coca_ViT-L-14 laion2b_s13b_b90k,Holding Gun,0.48148148148148145
coca_ViT-L-14 laion2b_s13b_b90k,Leading Team,0.41379310344827586
coca_ViT-L-14 laion2b_s13b_b90k,Picking Flower,0.5806451612903226
facebook/flava-full,Baking Bread,0.7692307692307693
facebook/flava-full,Beading Earrings,0.7368421052631579
facebook/flava-full,Catching Fish,0.4838709677419355
facebook/flava-full,Choosing Dress,0.7241379310344828
facebook/flava-full,Climbing Tree,0.6428571428571429
facebook/flava-full,Drinking Beer,0.5483870967741935
facebook/flava-full,Holding Baby,0.5806451612903226
facebook/flava-full,Holding Gun,0.5555555555555556
facebook/flava-full,Leading Team,0.6896551724137931
facebook/flava-full,Picking Flower,0.8064516129032258
kakaobrain/align-base,Baking Bread,0.5384615384615384
kakaobrain/align-base,Beading Earrings,0.6052631578947368
kakaobrain/align-base,Catching Fish,0.3548387096774194
kakaobrain/align-base,Choosing Dress,0.6206896551724138
kakaobrain/align-base,Climbing Tree,0.5714285714285714
kakaobrain/align-base,Drinking Beer,0.6451612903225806
kakaobrain/align-base,Holding Baby,0.6129032258064516
kakaobrain/align-base,Holding Gun,0.6296296296296297
kakaobrain/align-base,Leading Team,0.4482758620689655
kakaobrain/align-base,Picking Flower,0.5806451612903226
