model,activity,score
coca_ViT-L-14 laion2b_s13b_b90k,Holding Baby,0.5806451612903226
coca_ViT-L-14 laion2b_s13b_b90k,Holding Gun,0.48148148148148145
coca_ViT-L-14 laion2b_s13b_b90k,Leading Team,0.7241379310344828
coca_ViT-L-14 laion2b_s13b_b90k,Picking Flower,0.45161290322580644
facebook/flava-full,Baking Bread,0.38461538461538464
facebook/flava-full,Beading Earrings,0.2894736842105263
facebook/flava-full,Catching Fish,0.5161290322580645
facebook/flava-full,Choosing Dress,0.3103448275862069
facebook/flava-full,Climbing Tree,0.35714285714285715
facebook/flava-full,Drinking Beer,0.3870967741935484
facebook/flava-full,Holding Baby,0.45161290322580644
facebook/flava-full,Holding Gun,0.4444444444444444
facebook/flava-full,Leading Team,0.5172413793103449
facebook/flava-full,Picking Flower,0.2903225806451613
kakaobrain/align-base,Baking Bread,0.5
kakaobrain/align-base,Beading Earrings,0.39473684210526316
kakaobrain/align-base,Catching Fish,0.7096774193548387
kakaobrain/align-base,Choosing Dress,0.3793103448275862
kakaobrain/align-base,Climbing Tree,0.42857142857142855
kakaobrain/align-base,Drinking Beer,0.3870967741935484
kakaobrain/align-base,Holding Baby,0.5483870967741935
kakaobrain/align-base,Holding Gun,0.4074074074074074
kakaobrain/align-base,Leading Team,0.7586206896551724
kakaobrain/align-base,Picking Flower,0.45161290322580644
